ID	xTB_IP	xTB_EA	xTB_Opticalgap	xTB_oscillator_strength	Smiles	A	B	Sequence	check	Monomer_no_A	Monomer_no_B	Optical_gap	IP	EA	IP_cal	EA_cal	Opticalgap_cal	V_oc_expPC70BM
54_26_00001111	-5.7144	-2.3799	4.075	6.143	c1ccc2c(c1)Cc1cc(-c3ccc4c(c3)Cc3cc(-c5ccc6c(c5)Cc5cc(-c7ccc8c(c7)Cc7cc(-c9cccc%10c(-c%11cccc%12c(-c%13cccc%14c(-c%15cccc%16ccccc%15%16)cccc%13%14)cccc%11%12)cccc9%10)ccc7-8)ccc5-6)ccc3-4)ccc1-2	BrC1=CC2=C(C=C1)C1=C(C2)C=C(Br)C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(C=C1)C1=C(C2)C=C(Br)C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	54	26				-5.685072466933344	-1.2398596390837469	3.1388096242581174	1.4848756849461566
54_26_0011	-5.7353	-2.3587	4.11	6.0448	c1ccc2c(c1)Cc1cc(-c3ccc4c(c3)Cc3cc(-c5cccc6c(-c7cccc8c(-c9ccc%10c(c9)Cc9cc(-c%11ccc%12c(c%11)Cc%11cc(-c%13cccc%14c(-c%15cccc%16ccccc%15%16)cccc%13%14)ccc%11-%12)ccc9-%10)cccc78)cccc56)ccc3-4)ccc1-2	BrC1=CC2=C(C=C1)C1=C(C2)C=C(Br)C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=C(C=C1)C1=C(C2)C=C(Br)C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	54	26	3.3668843282979286	-5.691047010439086	-1.293317268727784	-5.704123004812223	-1.221650871781537	3.1580444411598023	1.5039241227407132
1_26_01	-5.5452	-2.6183	3.2239999999999998	3.3068	c1coc(-c2cccc3c(-c4ccc(-c5cccc6c(-c7ccc(-c8cccc9c(-c%10ccc(-c%11cccc%12ccccc%11%12)o%10)cccc89)o7)cccc56)o4)cccc23)c1	BrC1=CC=C(Br)O1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC=C(Br)O1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	2	26				-5.5308451459234815	-1.4446223808218024	2.6711287904485825	1.3306653655758733
55_26_00001111	-5.6595	-2.2299	4.126	0.0251	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9ccc%10c(c9)[nH]c9cc(-c%11ccc%12c(c%11)[nH]c%11cc(-c%13ccc%14c(c%13)[nH]c%13cc(-c%15ccc%16c(c%15)[nH]c%15ccccc%15%16)ccc%13%14)ccc%11%12)ccc9%10)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC2=C(C=C1)C1=C(N2)C=C(Br)C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(C=C1)C1=C(N2)C=C(Br)C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	55	26				-5.635030623414187	-1.1110240213794336	3.166837500314859	1.4348393579164374
59_26_0011	-5.5702	-2.7839	3.346	1.8323	c1ccc2cc3c(-c4cccc5cc6c(-c7cccc8c(-c9cccc%10c(-c%11cccc%12cc%13c(-c%14cccc%15cc%16c(-c%17cccc%18c(-c%19cccc%20ccccc%19%20)cccc%17%18)cccc%16cc%14%15)cccc%13cc%11%12)cccc9%10)cccc78)cccc6cc45)cccc3cc2c1	BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC=CC2=C(Br)C=CC=C12', 'BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12']	59	26				-5.553632870658982	-1.586856902767364	2.7381758665058835	1.3534505782487882
59_26_00001111	-5.5622	-2.7763	3.3089999999999997	1.5085	c1ccc2cc3c(-c4cccc5cc6c(-c7cccc8cc9c(-c%10cccc%11cc%12c(-c%13cccc%14c(-c%15cccc%16c(-c%17cccc%18c(-c%19cccc%20ccccc%19%20)cccc%17%18)cccc%15%16)cccc%13%14)cccc%12cc%10%11)cccc9cc78)cccc6cc45)cccc3cc2c1	BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC=CC2=C(Br)C=CC=C12', 'BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12']	59	26				-5.546340798743621	-1.5803292314703454	2.7178419172098165	1.3461593101934546
59_26_01	-5.5664	-2.7822	3.409	2.0551	c1ccc2cc3c(-c4cccc5c(-c6cccc7cc8c(-c9cccc%10c(-c%11cccc%12cc%13c(-c%14cccc%15c(-c%16cccc%17cc%18c(-c%19cccc%20ccccc%19%20)cccc%18cc%16%17)cccc%14%15)cccc%13cc%11%12)cccc9%10)cccc8cc67)cccc45)cccc3cc2c1	BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC=CC2=C(Br)C=CC=C12', 'BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12']	59	26				-5.550169136499185	-1.5853967657667152	2.772798536928916	1.3499872259225039
10_26_00001111	-5.1485	-2.8528	2.9330000000000003	5.5182	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9cc%10sc(-c%11cc%12sc(-c%13cc%14sc(-c%15cc%16sccc%16s%15)cc%14s%13)cc%12s%11)cc%10s9)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC2=C(S1)C=C(Br)S2	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(S1)C=C(Br)S2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	10	26				-5.1692495298205685	-1.6460353964995451	2.5112050270660027	0.9691096108820703
10_26_01	-5.4319	-2.6665	3.435	5.0438	c1ccc2c(-c3cc4sc(-c5cccc6c(-c7cc8sc(-c9cccc%10c(-c%11cc%12sc(-c%13cccc%14c(-c%15cc%16sccc%16s%15)cccc%13%14)cc%12s%11)cccc9%10)cc8s7)cccc56)cc4s3)cccc2c1	BrC1=CC2=C(S1)C=C(Br)S2	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC2=C(S1)C=C(Br)S2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	10	26				-5.4275711774221955	-1.4860215593107884	2.7870872580558816	1.2274027817422255
10_26_0011	-5.2769	-2.7342	3.1319999999999997	5.0008	c1ccc2c(-c3cccc4c(-c5cc6sc(-c7cc8sc(-c9cccc%10c(-c%11cccc%12c(-c%13cc%14sc(-c%15cc%16sccc%16s%15)cc%14s%13)cccc%11%12)cccc9%10)cc8s7)cc6s5)cccc34)cccc2c1	BrC1=CC2=C(S1)C=C(Br)S2	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=C(S1)C=C(Br)S2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	10	26				-5.286287284062096	-1.5441693681013349	2.6205687003070106	1.0861344631701577
0_26_0011	-5.0358	-2.2272	3.38	2.3661	c1c[nH]c(-c2ccc(-c3cccc4c(-c5cccc6c(-c7ccc(-c8ccc(-c9cccc%10c(-c%11cccc%12ccccc%11%12)cccc9%10)[nH]8)[nH]7)cccc56)cccc34)[nH]2)c1	BrC1=CC=C(Br)N1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC=C(Br)N1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	1	26				-5.066522466712934	-1.1087049802607556	2.7568611172103767	0.8663938721525724
0_26_01	-5.2679	-2.2488	3.4	2.6118	c1c[nH]c(-c2cccc3c(-c4ccc(-c5cccc6c(-c7ccc(-c8cccc9c(-c%10ccc(-c%11cccc%12ccccc%11%12)[nH]%10)cccc89)[nH]7)cccc56)[nH]4)cccc23)c1	BrC1=CC=C(Br)N1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC=C(Br)N1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	1	26				-5.278083703157315	-1.127257309210177	2.7678524411541967	1.0779317866079077
57_26_0011	-5.8743	-2.4294	4.251	5.2010000000000005	c1ccc2c(-c3cccc4c(-c5ccc6c(c5)sc5cc(-c7ccc8c(c7)sc7cc(-c9cccc%10c(-c%11cccc%12c(-c%13ccc%14c(c%13)sc%13cc(-c%15ccc%16c(c%15)sc%15ccccc%15%16)ccc%13%14)cccc%11%12)cccc9%10)ccc78)ccc56)cccc34)cccc2c1	BrC1=CC2=C(C=C1)C1=C(S2)C=C(Br)C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=C(C=C1)C1=C(S2)C=C(Br)C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	57	26				-5.830822754341602	-1.28237539292617	3.235533274963733	1.630609905202116
58_26_0011	-5.9929999999999986	-3.5301	3.247	0.5243	O=C1c2ccccc2-c2ccc(-c3ccc4c(c3)C(=O)c3cc(-c5cccc6c(-c7cccc8c(-c9ccc%10c(c9)C(=O)c9cc(-c%11ccc%12c(c%11)C(=O)c%11cc(-c%13cccc%14c(-c%15cccc%16ccccc%15%16)cccc%13%14)ccc%11-%12)ccc9-%10)cccc78)cccc56)ccc3-4)cc21	BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)C2=O	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)C2=O', 'BrC1=CC=CC2=C(Br)C=CC=C12']	58	26				-5.9390188713857555	-2.2277711556404216	2.683768812983975	1.7387940949731118
58_26_00001111	-5.9998	-3.5555	3.2089999999999996	0.6179	O=C1c2ccccc2-c2ccc(-c3ccc4c(c3)C(=O)c3cc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc8c(c7)C(=O)c7cc(-c9cccc%10c(-c%11cccc%12c(-c%13cccc%14c(-c%15cccc%16ccccc%15%16)cccc%13%14)cccc%11%12)cccc9%10)ccc7-8)ccc5-6)ccc3-4)cc21	BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)C2=O	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)C2=O', 'BrC1=CC=CC2=C(Br)C=CC=C12']	58	26				-5.945217132513813	-2.2495873202383523	2.6628852974907176	1.7449916728201467
3_26_0011	-5.9407	-2.2268	4.104	2.6103	c1ccc(-c2ccc(-c3cccc4c(-c5cccc6c(-c7ccc(-c8ccc(-c9cccc%10c(-c%11cccc%12ccccc%11%12)cccc9%10)cc8)cc7)cccc56)cccc34)cc2)cc1	BrC1=CC=C(Br)C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC=C(Br)C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	4	26				-5.8913469512390915	-1.108361418613544	3.1547470439766565	1.691127430061377
3_26_01	-5.9037	-2.2543	4.101	2.7281	c1ccc(-c2cccc3c(-c4ccc(-c5cccc6c(-c7ccc(-c8cccc9c(-c%10ccc(-c%11cccc%12ccccc%11%12)cc%10)cccc89)cc7)cccc56)cc4)cccc23)cc1	BrC1=CC=C(Br)C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC=C(Br)C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	4	26				-5.857621118630551	-1.131981281859335	3.153098345385083	1.6574053153054638
60_26_01	-5.6459	-2.7544	3.3819999999999997	2.0101	c1ccc2c(-c3c4ccccc4c(-c4cccc5c(-c6c7ccccc7c(-c7cccc8c(-c9c%10ccccc%10c(-c%10cccc%11c(-c%12c%13ccccc%13cc%13ccccc%12%13)cccc%10%11)c%10ccccc9%10)cccc78)c7ccccc67)cccc45)c4ccccc34)cccc2c1	BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12', 'BrC1=CC=CC2=C(Br)C=CC=C12']	60	26				-5.622634101158075	-1.5615192312855155	2.7579602496047597	1.4224442022223722
