ID	xTB_IP	xTB_EA	xTB_Opticalgap	xTB_oscillator_strength	Smiles	A	B	Sequence	check	Monomer_no_A	Monomer_no_B	Optical_gap	IP	EA	IP_cal	EA_cal	Opticalgap_cal	V_oc_PN1
10_26_00001111	-5.1485	-2.8528	2.9330000000000003	5.5182	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9cc%10sc(-c%11cc%12sc(-c%13cc%14sc(-c%15cc%16sccc%16s%15)cc%14s%13)cc%12s%11)cc%10s9)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC2=C(S1)C=C(Br)S2	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(S1)C=C(Br)S2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	10	26				-5.1692495298205685	-1.6460353964995451	2.5112050270660027	1.0191040990053584
10_26_01	-5.4319	-2.6665	3.435	5.0438	c1ccc2c(-c3cc4sc(-c5cccc6c(-c7cc8sc(-c9cccc%10c(-c%11cc%12sc(-c%13cccc%14c(-c%15cc%16sccc%16s%15)cccc%13%14)cc%12s%11)cccc9%10)cc8s7)cccc56)cc4s3)cccc2c1	BrC1=CC2=C(S1)C=C(Br)S2	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC2=C(S1)C=C(Br)S2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	10	26				-5.4275711774221955	-1.4860215593107884	2.7870872580558816	1.2773972698655136
10_26_0011	-5.2769	-2.7342	3.1319999999999997	5.0008	c1ccc2c(-c3cccc4c(-c5cc6sc(-c7cc8sc(-c9cccc%10c(-c%11cccc%12c(-c%13cc%14sc(-c%15cc%16sccc%16s%15)cc%14s%13)cccc%11%12)cccc9%10)cc8s7)cc6s5)cccc34)cccc2c1	BrC1=CC2=C(S1)C=C(Br)S2	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=C(S1)C=C(Br)S2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	10	26				-5.286287284062096	-1.5441693681013349	2.6205687003070106	1.1361289512934458
0_26_0011	-5.0358	-2.2272	3.38	2.3661	c1c[nH]c(-c2ccc(-c3cccc4c(-c5cccc6c(-c7ccc(-c8ccc(-c9cccc%10c(-c%11cccc%12ccccc%11%12)cccc9%10)[nH]8)[nH]7)cccc56)cccc34)[nH]2)c1	BrC1=CC=C(Br)N1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC=C(Br)N1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	1	26				-5.066522466712934	-1.1087049802607556	2.7568611172103767	0.9163883602758607
0_26_01	-5.2679	-2.2488	3.4	2.6118	c1c[nH]c(-c2cccc3c(-c4ccc(-c5cccc6c(-c7ccc(-c8cccc9c(-c%10ccc(-c%11cccc%12ccccc%11%12)[nH]%10)cccc89)[nH]7)cccc56)[nH]4)cccc23)c1	BrC1=CC=C(Br)N1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC=C(Br)N1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	1	26				-5.278083703157315	-1.127257309210177	2.7678524411541967	1.1279262747311958
60_26_01	-5.6459	-2.7544	3.3819999999999997	2.0101	c1ccc2c(-c3c4ccccc4c(-c4cccc5c(-c6c7ccccc7c(-c7cccc8c(-c9c%10ccccc%10c(-c%10cccc%11c(-c%12c%13ccccc%13cc%13ccccc%12%13)cccc%10%11)c%10ccccc9%10)cccc78)c7ccccc67)cccc45)c4ccccc34)cccc2c1	BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12', 'BrC1=CC=CC2=C(Br)C=CC=C12']	60	26				-5.622634101158075	-1.5615192312855155	2.7579602496047597	1.4724386903456606
60_26_0011	-5.7031	-2.7430000000000003	3.233	1.7511	c1ccc2c(-c3cccc4c(-c5c6ccccc6c(-c6c7ccccc7c(-c7cccc8c(-c9cccc%10c(-c%11c%12ccccc%12c(-c%12c%13ccccc%13cc%13ccccc%12%13)c%12ccccc%11%12)cccc9%10)cccc78)c7ccccc67)c6ccccc56)cccc34)cccc2c1	BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12', 'BrC1=CC=CC2=C(Br)C=CC=C12']	60	26				-5.674772415352899	-1.5517277243399883	2.676074886223301	1.524571256941288
60_26_00001111	-5.732	-2.7368	3.177	1.5929	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9c%10ccccc%10c(-c%10c%11ccccc%11c(-c%11c%12ccccc%12c(-c%12c%13ccccc%13cc%13ccccc%12%13)c%12ccccc%11%12)c%11ccccc%10%11)c%10ccccc9%10)cccc78)cccc56)cccc34)cccc2c1	BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12', 'BrC1=CC=CC2=C(Br)C=CC=C12']	60	26				-5.701115025147137	-1.5464025188082098	2.645299179180605	1.5509109627911768
49_26_0011	-5.4587	-2.744	2.988	5.8738	c1ccc2c(-c3cccc4c(-c5cc6oc7cc(-c8cc9oc%10cc(-c%11cccc%12c(-c%13cccc%14c(-c%15cc%16oc%17cc(-c%18cc%19oc%20ccoc%20c%19o%18)oc%17c%16o%15)cccc%13%14)cccc%11%12)oc%10c9o8)oc7c6o5)cccc34)cccc2c1	BrC1=CC2=C(O1)C1=C(O2)C=C(Br)O1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=C(O1)C1=C(O2)C=C(Br)O1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	49	26				-5.451999618338652	-1.5525866284580163	2.541431167911508	1.3018230178508792
15_26_0011	-5.3168	-2.6848	3.052	1.5096	c1ccc2c(-c3cccc4c(-c5ccc(-c6ccc(-c7cccc8c(-c9cccc%10c(-c%11ccc(-c%12cccc%13cscc%12%13)c%12cscc%11%12)cccc9%10)cccc78)c7cscc67)c6cscc56)cccc34)cccc2c1	BrC1=CC=C(Br)C2=CSC=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC=C(Br)C2=CSC=C12', 'BrC1=CC=CC2=C(Br)C=CC=C12']	15	26				-5.322656492739953	-1.5017395046707147	2.576603404531731	1.172494150719416
