ID,xTB_IP,xTB_EA,xTB_Opticalgap,xTB_oscillator_strength,Smiles,A,B,Sequence,check,Monomer_no_A,Monomer_no_B,TDDFT_Opticalgap,DFT_IP,DFT_EA,IP_cal,EA_cal,Opticalgap_cal
10_10_01,-4.9015,-3.0901,2.662,9.3297,c1cc2sc(-c3cc4sc(-c5cc6sc(-c7cc8sc(-c9cc%10sc(-c%11cc%12sc(-c%13cc%14sc(-c%15cc%16sccc%16s%15)cc%14s%13)cc%12s%11)cc%10s9)cc8s7)cc6s5)cc4s3)cc2s1,BrC1=CC2=C(S1)C=C(Br)S2,BrC1=CC2=C(S1)C=C(Br)S2,AB,"['AB', 'BrC1=CC2=C(S1)C=C(Br)S2', 'BrC1=CC2=C(S1)C=C(Br)S2']",10,10,,,,-4.944106809433828,-1.8498533437077693,2.3622725876272437
59_59_01,-5.4781,-2.9061,3.485,3.0613,c1ccc2cc3c(-c4cccc5cc6c(-c7cccc8cc9c(-c%10cccc%11cc%12c(-c%13cccc%14cc%15c(-c%16cccc%17cc%18c(-c%19cccc%20cc%21c(-c%22cccc%23cc%24ccccc%24cc%22%23)cccc%21cc%19%20)cccc%18cc%16%17)cccc%15cc%13%14)cccc%12cc%10%11)cccc9cc78)cccc6cc45)cccc3cc2c1,BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12,BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12,AB,"['AB', 'BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12', 'BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12']",59,59,,,,-5.4696828927334,-1.691814985990478,2.814565567915431
45_45_01,-6.7994,-3.5956,3.932,1.4646,c1cnc2c(-c3ncc(-c4ncc(-c5ncc(-c6ncc(-c7ncc(-c8ncc(-c9nccc%10ncccc9%10)c9ncccc89)c8ncccc78)c7ncccc67)c6ncccc56)c5ncccc45)c4ncccc34)cncc2c1,BrC1=C2N=CC=CC2=C(Br)N=C1,BrC1=C2N=CC=CC2=C(Br)N=C1,AB,"['AB', 'BrC1=C2N=CC=CC2=C(Br)N=C1', 'BrC1=C2N=CC=CC2=C(Br)N=C1']",45,45,,,,-6.674059720454044,-2.2840293753713055,3.060221658059805
48_48_01,-3.7791,-1.4694,3.135,7.3964,c1cc2[nH]c3cc(-c4cc5[nH]c6cc(-c7cc8[nH]c9cc(-c%10cc%11[nH]c%12cc(-c%13cc%14[nH]c%15cc(-c%16cc%17[nH]c%18cc(-c%19cc%20[nH]c%21cc(-c%22cc%23[nH]c%24cc[nH]c%24c%23[nH]%22)[nH]c%21c%20[nH]%19)[nH]c%18c%17[nH]%16)[nH]c%15c%14[nH]%13)[nH]c%12c%11[nH]%10)[nH]c9c8[nH]7)[nH]c6c5[nH]4)[nH]c3c2[nH]1,BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1,BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1,AB,"['AB', 'BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1', 'BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1']",48,48,,,,-3.921029119708822,-0.4578274396185642,2.6222173988985835
11_11_01,-4.4709,-3.6213,2.0780000000000003,6.8616,c1ccc2c(-c3sc(-c4sc(-c5sc(-c6sc(-c7sc(-c8sc(-c9scc%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)scc2c1,BrC1=C2C=CC=CC2=C(Br)S1,BrC1=C2C=CC=CC2=C(Br)S1,AB,"['AB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=C2C=CC=CC2=C(Br)S1']",11,11,,,,-4.551611038589577,-2.3061032112046447,2.0413259284677037
36_36_01,-6.3579,-2.786,4.0760000000000005,2.8772,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9ccncc89)c8ccncc78)c7ccncc67)c6ccncc56)c5ccncc45)c4ccncc34)c3ccncc23)c2ccncc2c1,BrC1=C2C=CN=CC2=C(Br)C=C1,BrC1=C2C=CN=CC2=C(Br)C=C1,AB,"['AB', 'BrC1=C2C=CN=CC2=C(Br)C=C1', 'BrC1=C2C=CN=CC2=C(Br)C=C1']",36,36,,,,-6.271628501625114,-1.5886606014152247,3.139359190455309
57_57_01,-5.8243,-2.5303,4.308,2.5707,c1ccc2c(c1)sc1cc(-c3ccc4c(c3)sc3cc(-c5ccc6c(c5)sc5cc(-c7ccc8c(c7)sc7cc(-c9ccc%10c(c9)sc9cc(-c%11ccc%12c(c%11)sc%11cc(-c%13ccc%14c(c%13)sc%13cc(-c%15ccc%16c(c%15)sc%15ccccc%15%16)ccc%13%14)ccc%11%12)ccc9%10)ccc78)ccc56)ccc34)ccc12,BrC1=CC2=C(C=C1)C1=C(S2)C=C(Br)C=C1,BrC1=CC2=C(C=C1)C1=C(S2)C=C(Br)C=C1,AB,"['AB', 'BrC1=CC2=C(C=C1)C1=C(S2)C=C(Br)C=C1', 'BrC1=CC2=C(C=C1)C1=C(S2)C=C(Br)C=C1']",57,57,,,,-5.785247304870603,-1.3690388184352718,3.2668585482036194
3_3_01,-6.0226,-2.1248,4.354,4.6727,c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccccc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,BrC1=CC=C(Br)C=C1,BrC1=CC=C(Br)C=C1,AB,"['AB', 'BrC1=CC=C(Br)C=C1', 'BrC1=CC=C(Br)C=C1']",4,4,,,,-5.965999537472588,-1.020753198574611,3.292138593274405
25_25_01,-6.6174,-3.6325,3.873,6.3662,c1cnc2cnc(-c3ccc4cc(-c5ccc6cc(-c7ccc8cc(-c9ccc%10cc(-c%11ccc%12cc(-c%13ccc%14cc(-c%15ccc%16ccncc%16n%15)ncc%14n%13)ncc%12n%11)ncc%10n9)ncc8n7)ncc6n5)ncc4n3)cc2c1,BrC1=NC2=CN=C(Br)C=C2C=C1,BrC1=NC2=CN=C(Br)C=C2C=C1,AB,"['AB', 'BrC1=NC2=CN=C(Br)C=C2C=C1', 'BrC1=NC2=CN=C(Br)C=C2C=C1']",25,25,,,,-6.508165084379604,-2.3157229373265666,3.027797252425537
34_34_01,-6.2722,-3.0241,4.0360000000000005,3.2903,c1cc(-c2nccc3c(-c4nccc5c(-c6nccc7c(-c8nccc9c(-c%10nccc%11c(-c%12nccc%13c(-c%14nccc%15ccccc%14%15)cccc%12%13)cccc%10%11)cccc89)cccc67)cccc45)cccc23)c2ccncc2c1,BrC1=C2C=CN=C(Br)C2=CC=C1,BrC1=C2C=CN=C(Br)C2=CC=C1,AB,"['AB', 'BrC1=C2C=CN=C(Br)C2=CC=C1', 'BrC1=C2C=CN=C(Br)C2=CC=C1']",34,34,,,,-6.19351218123182,-1.7931656719178712,3.117376542567669
