ID	xTB_IP	xTB_EA	xTB_Opticalgap	xTB_oscillator_strength	Smiles	A	B	Sequence	check	Monomer_no_A	Monomer_no_B	Optical_gap	IP	EA	IP_cal	EA_cal	Opticalgap_cal	V_oc_expPCBM
2_16_01	-5.5955	-3.9165	2.2230000000000003	4.5317	c1csc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9nonc89)s7)c7nonc67)s5)c5nonc45)s3)c3nonc23)c1	BrC1=CC=C(Br)S1	BrC1=CC=C(Br)C2=NON=C12	AB	['AB', 'BrC1=CC=C(Br)C2=NON=C12', 'BrC1=CC=C(Br)S1']	3	16	1.6457150928423818	-5.633156664236478	-2.981940703537246	-5.576694048091309	-2.5596517068467333	2.121013027060398	1.386508111098436
11_61_00001111	-4.7589	-3.4928	2.261	5.9931	O=S1(=O)c2ccccc2-c2ccc(-c3ccc4c(c3)S(=O)(=O)c3cc(-c5ccc6c(c5)S(=O)(=O)c5cc(-c7ccc8c(c7)S(=O)(=O)c7cc(-c9sc(-c%10sc(-c%11sc(-c%12scc%13ccccc%12%13)c%12ccccc%11%12)c%11ccccc%10%11)c%10ccccc9%10)ccc7-8)ccc5-6)ccc3-4)cc21	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)S2(=O)=O	AAAABBBB	['AAAABBBB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)S2(=O)=O']	11	61				-4.814125627542536	-2.195734032037949	2.141896542553656	0.6240237542120306
7_0_00001111	-5.2936	-4.3019	0.342	0.0005	c1c[nH]c(-c2ccc(-c3ccc(-c4ccc(-c5nnc(-c6nnc(-c7nnc(-c8nncnn8)nn7)nn6)nn5)[nH]4)[nH]3)[nH]2)c1	BrC1=NN=C(Br)N=N1	BrC1=CC=C(Br)N1	AAAABBBB	['AAAABBBB', 'BrC1=CC=C(Br)N1', 'BrC1=NN=C(Br)N=N1']	8	1	1.1633445566761709	-5.324061107485356	-3.0766337830692736	-5.301509484185409	-2.890673353935016	1.0872790101441383	1.111353882860321
11_0_01	-4.398	-2.9597	2.191	3.5708	c1c[nH]c(-c2sc(-c3ccc(-c4sc(-c5ccc(-c6sc(-c7ccc(-c8scc9ccccc89)[nH]7)c7ccccc67)[nH]5)c5ccccc45)[nH]3)c3ccccc23)c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC=C(Br)N1	AB	['AB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC=C(Br)N1']	11	1				-4.485162033260859	-1.7378522467168196	2.103426908750285	0.29509642406584075
16_0_01	-5.399	-3.766	2.153	3.3809	c1c[nH]c(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9nonc89)[nH]7)c7nonc67)[nH]5)c5nonc45)[nH]3)c3nonc23)c1	BrC1=CC=C(Br)C2=NON=C12	BrC1=CC=C(Br)N1	AB	['AB', 'BrC1=CC=C(Br)C2=NON=C12', 'BrC1=CC=C(Br)N1']	16	1				-5.3975825316702775	-2.430386637083405	2.082543393257028	1.2074163394893276
16_0_00001111	-4.9909	-3.8666	2.352	1.5930000000000002	c1c[nH]c(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9nonc89)c8nonc78)c7nonc67)c6nonc56)[nH]4)[nH]3)[nH]2)c1	BrC1=CC=C(Br)C2=NON=C12	BrC1=CC=C(Br)N1	AAAABBBB	['AAAABBBB', 'BrC1=CC=C(Br)C2=NON=C12', 'BrC1=CC=C(Br)N1']	16	1				-5.025595713087976	-2.5167923913570984	2.191907066498036	0.8354705278166756
11_14_00001111	-4.7584	-3.4024	2.244	4.4462	c1ccc2c(-c3sc(-c4sc(-c5sc(-c6ccc(-c7ccc(-c8ccc(-c9cccc%10ccsc9%10)c9ccsc89)c8ccsc78)c7ccsc67)c6ccccc56)c5ccccc45)c4ccccc34)scc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC=C(Br)C2=C1SC=C2	AAAABBBB	['AAAABBBB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC=C(Br)C2=C1SC=C2']	11	14				-4.813669873047826	-2.11808909976815	2.1325539172014087	0.6235680499585723
7_52_00001111	-5.7168	-4.6543	1.679	0.0089	c1nnc(-c2nnc(-c3nnc(-c4nnc(-c5cc6cc7oc(-c8cc9cc%10oc(-c%11cc%12cc%13oc(-c%14cc%15cc%16occc%16cc%15o%14)cc%13cc%12o%11)cc%10cc9o8)cc7cc6o5)nn4)nn3)nn2)nn1	BrC1=NN=C(Br)N=N1	BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1	AAAABBBB	['AAAABBBB', 'BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1', 'BrC1=NN=C(Br)N=N1']	8	52				-5.687260088507952	-3.193351165128349	1.8220490157884968	1.4970619629874127
11_52_00001111	-4.8722	-3.4271	2.238	5.0233	c1ccc2c(-c3sc(-c4sc(-c5sc(-c6cc7cc8oc(-c9cc%10cc%11oc(-c%12cc%13cc%14oc(-c%15cc%16cc%17occc%17cc%16o%15)cc%14cc%13o%12)cc%11cc%10o9)cc8cc7o6)c6ccccc56)c5ccccc45)c4ccccc34)scc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1	AAAABBBB	['AAAABBBB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1']	11	52				-4.917399596043822	-2.13930403148346	2.129256520018262	0.7272863380456782
11_52_0011	-4.9447	-3.4478	2.333	7.204	c1ccc2c(-c3sc(-c4cc5cc6oc(-c7cc8cc9oc(-c%10sc(-c%11sc(-c%12cc%13cc%14oc(-c%15cc%16cc%17occc%17cc%16o%15)cc%14cc%13o%12)c%12ccccc%11%12)c%11ccccc%10%11)cc9cc8o7)cc6cc5o4)c4ccccc34)scc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1	AABB	['AABB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1']	11	52				-4.983483997776771	-2.1570833467266555	2.181465308751407	0.7933634547971289
7_51_00001111	-4.9537	-4.3462	0.153	0.0002	c1nnc(-c2nnc(-c3nnc(-c4nnc(-c5cc6cc7[nH]c(-c8cc9cc%10[nH]c(-c%11cc%12cc%13[nH]c(-c%14cc%15cc%16[nH]ccc%16cc%15[nH]%14)cc%13cc%12[nH]%11)cc%10cc9[nH]8)cc7cc6[nH]5)nn4)nn3)nn2)nn1	BrC1=NN=C(Br)N=N1	BrC1=CC2=CC3=C(C=C(Br)N3)C=C2N1	AAAABBBB	['AAAABBBB', 'BrC1=CC2=CC3=C(C=C(Br)N3)C=C2N1', 'BrC1=NN=C(Br)N=N1']	8	51	0.9002063218779082	-5.0145585952715965	-3.148772985557838	-4.991687578681552	-2.9287228063636896	0.9834109988750406	0.8015661313593789
11_51_0011	-4.4972	-3.0926	2.352	6.5272	c1ccc2c(-c3sc(-c4cc5cc6[nH]c(-c7cc8cc9[nH]c(-c%10sc(-c%11sc(-c%12cc%13cc%14[nH]c(-c%15cc%16cc%17[nH]ccc%17cc%16[nH]%15)cc%14cc%13[nH]%12)c%12ccccc%11%12)c%11ccccc%10%11)cc9cc8[nH]7)cc6cc5[nH]4)c4ccccc34)scc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC2=CC3=C(C=C(Br)N3)C=C2N1	AABB	['AABB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC2=CC3=C(C=C(Br)N3)C=C2N1']	11	51				-4.575583725011323	-1.8520006040028412	2.191907066498036	0.3855081479519646
11_29_00001111	-5.0169	-3.6286	2.249	2.5443	c1ccc2c(-c3sc(-c4sc(-c5sc(-c6ccnc7c(-c8ccnc9c(-c%10ccnc%11c(-c%12ccnc%13ccncc%12%13)cncc%10%11)cncc89)cncc67)c6ccccc56)c5ccccc45)c4ccccc34)scc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC=NC2=C(Br)C=NC=C12	AAAABBBB	['AAAABBBB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC=NC2=C(Br)C=NC=C12']	11	29				-5.0492949468128945	-2.3123732112662543	2.1353017481873637	0.8591671489965047
7_50_00001111	-5.2591	-4.4931	0.295	0.0002	c1nnc(-c2nnc(-c3nnc(-c4nnc(-c5cc6sc7cc(-c8cc9sc%10cc(-c%11cc%12sc%13cc(-c%14cc%15sc%16ccsc%16c%15s%14)sc%13c%12s%11)sc%10c9s8)sc7c6s5)nn4)nn3)nn2)nn1	BrC1=NN=C(Br)N=N1	BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1', 'BrC1=NN=C(Br)N=N1']	8	50	1.347962498126603	-5.439591259007982	-3.2035005081873207	-5.27006242405042	-3.0548958213021136	1.0614493988761615	1.0799102893717
7_50_0011	-5.5879	-4.2161	0.057	0.0002	c1nnc(-c2nnc(-c3cc4sc5cc(-c6cc7sc8cc(-c9nnc(-c%10nnc(-c%11cc%12sc%13cc(-c%14cc%15sc%16ccsc%16c%15s%14)sc%13c%12s%11)nn%10)nn9)sc8c7s6)sc5c4s3)nn2)nn1	BrC1=NN=C(Br)N=N1	BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1	AABB	['AABB', 'BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1', 'BrC1=NN=C(Br)N=N1']	8	50				-5.569766579771716	-2.8169793806081485	0.9306526439447051	1.3795814064458694
11_50_0011	-4.7182	-3.4192	2.2	6.31	c1ccc2c(-c3sc(-c4cc5sc6cc(-c7cc8sc9cc(-c%10sc(-c%11sc(-c%12cc%13sc%14cc(-c%15cc%16sc%17ccsc%17c%16s%15)sc%14c%13s%12)c%12ccccc%11%12)c%11ccccc%10%11)sc9c8s7)sc6c5s4)c4ccccc34)scc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1	AABB	['AABB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1']	11	50				-4.777027211673143	-2.1325186889510332	2.1083730045250046	0.5869294279805275
11_50_00001111	-4.6762	-3.4068	2.182	5.399	c1ccc2c(-c3sc(-c4sc(-c5sc(-c6cc7sc8cc(-c9cc%10sc%11cc(-c%12cc%13sc%14cc(-c%15cc%16sc%17ccsc%17c%16s%15)sc%14c%13s%12)sc%11c%10s9)sc8c7s6)c6ccccc56)c5ccccc45)c4ccccc34)scc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1	AAAABBBB	['AAAABBBB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1']	11	50				-4.738743834117502	-2.121868277887476	2.0984808129755668	0.5486502706900298
16_50_00001111	-5.1414	-4.0712	2.075	2.6845	c1cc(-c2ccc(-c3ccc(-c4ccc(-c5cc6sc7cc(-c8cc9sc%10cc(-c%11cc%12sc%13cc(-c%14cc%15sc%16ccsc%16c%15s%14)sc%13c%12s%11)sc%10c9s8)sc7c6s5)c5nonc45)c4nonc34)c3nonc23)c2nonc2c1	BrC1=CC=C(Br)C2=NON=C12	BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1', 'BrC1=CC=C(Br)C2=NON=C12']	16	50				-5.1627778159956845	-2.6925241739057815	2.0396772298761308	0.9726375081076177
