ID,xTB_IP,xTB_EA,xTB_Opticalgap,xTB_oscillator_strength,Smiles,A,B,Sequence,check,Monomer_no_A,Monomer_no_B,TDDFT_Opticalgap,DFT_IP,DFT_EA,IP_cal,EA_cal,Opticalgap_cal
59_59_01,-5.4808,-3.1531,3.569,2.9648,c1ccc2cc3c(-c4cccc5cc6c(-c7cccc8cc9c(-c%10cccc%11cc%12c(-c%13cccc%14cc%15c(-c%16cccc%17cc%18c(-c%19cccc%20cc%21c(-c%22cccc%23cc%24ccccc%24cc%22%23)cccc%21cc%19%20)cccc%18cc%16%17)cccc%15cc%13%14)cccc%12cc%10%11)cccc9cc78)cccc6cc45)cccc3cc2c1,BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12,BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12,AB,"['AB', 'BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12', 'BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12']",59,59,,,,-5.071873265000699,-2.354630026148328,2.9203686544278202
45_45_01,-6.4847,-3.8363,3.774,2.5485,c1cnc2c(-c3ncc(-c4ncc(-c5ncc(-c6ncc(-c7ncc(-c8ncc(-c9nccc%10ncccc9%10)c9ncccc89)c8ncccc78)c7ncccc67)c6ncccc56)c5ncccc45)c4ncccc34)cncc2c1,BrC1=C2N=CC=CC2=C(Br)N=C1,BrC1=C2N=CC=CC2=C(Br)N=C1,AB,"['AB', 'BrC1=C2N=CC=CC2=C(Br)N=C1', 'BrC1=C2N=CC=CC2=C(Br)N=C1']",45,45,,,,-6.014101949108042,-2.984461631037852,3.042651473916921
48_48_01,-3.6408,-1.4861,3.13,8.1283,c1cc2[nH]c3cc(-c4cc5[nH]c6cc(-c7cc8[nH]c9cc(-c%10cc%11[nH]c%12cc(-c%13cc%14[nH]c%15cc(-c%16cc%17[nH]c%18cc(-c%19cc%20[nH]c%21cc(-c%22cc%23[nH]c%24cc[nH]c%24c%23[nH]%22)[nH]c%21c%20[nH]%19)[nH]c%18c%17[nH]%16)[nH]c%15c%14[nH]%13)[nH]c%12c%11[nH]%10)[nH]c9c8[nH]7)[nH]c6c5[nH]4)[nH]c3c2[nH]1,BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1,BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1,AB,"['AB', 'BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1', 'BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1']",48,48,,,,-3.3449076521333705,-0.8178482852952316,2.6585044702535985
11_11_01,-4.2425,-3.8955,2.097,1.4056,c1ccc2c(-c3sc(-c4sc(-c5sc(-c6sc(-c7sc(-c8sc(-c9scc%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)scc2c1,BrC1=C2C=CC=CC2=C(Br)S1,BrC1=C2C=CC=CC2=C(Br)S1,AB,"['AB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=C2C=CC=CC2=C(Br)S1']",11,11,,,,-3.9096441789063436,-3.03903720335849,2.0423183603402264
36_36_01,-6.0154,-3.0159,4.02,3.0201,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9ccncc89)c8ccncc78)c7ccncc67)c6ccncc56)c5ccncc45)c4ccncc34)c3ccncc23)c2ccncc2c1,BrC1=C2C=CN=CC2=C(Br)C=C1,BrC1=C2C=CN=CC2=C(Br)C=C1,AB,"['AB', 'BrC1=C2C=CN=CC2=C(Br)C=C1', 'BrC1=C2C=CN=CC2=C(Br)C=C1']",36,36,,,,-5.573631861000086,-2.2281474497565794,3.1893908573038416
57_57_01,-5.7398,-2.7001,4.307,4.9727,c1ccc2c(c1)sc1cc(-c3ccc4c(c3)sc3cc(-c5ccc6c(c5)sc5cc(-c7ccc8c(c7)sc7cc(-c9ccc%10c(c9)sc9cc(-c%11ccc%12c(c%11)sc%11cc(-c%13ccc%14c(c%13)sc%13cc(-c%15ccc%16c(c%15)sc%15ccccc%15%16)ccc%13%14)ccc%11%12)ccc9%10)ccc78)ccc56)ccc34)ccc12,BrC1=CC2=C(C=C1)C1=C(S2)C=C(Br)C=C1,BrC1=CC2=C(C=C1)C1=C(S2)C=C(Br)C=C1,AB,"['AB', 'BrC1=CC2=C(C=C1)C1=C(S2)C=C(Br)C=C1', 'BrC1=CC2=C(C=C1)C1=C(S2)C=C(Br)C=C1']",57,57,,,,-5.314962446377132,-1.937016271735339,3.360586804588584
3_3_01,-5.8822,-2.4165,4.303,4.7558,c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccccc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,BrC1=CC=C(Br)C=C1,BrC1=CC=C(Br)C=C1,AB,"['AB', 'BrC1=CC=C(Br)C=C1', 'BrC1=CC=C(Br)C=C1']",4,4,,,,-5.448614567720778,-1.6755697800101212,3.35820079835465
25_25_01,-6.4715,-3.7448,3.941,6.2984,c1cnc2cnc(-c3ccc4cc(-c5ccc6cc(-c7ccc8cc(-c9ccc%10cc(-c%11ccc%12cc(-c%13ccc%14cc(-c%15ccc%16ccncc%16n%15)ncc%14n%13)ncc%12n%11)ncc%10n9)ncc8n7)ncc6n5)ncc4n3)cc2c1,BrC1=NC2=CN=C(Br)C=C2C=C1,BrC1=NC2=CN=C(Br)C=C2C=C1,AB,"['AB', 'BrC1=NC2=CN=C(Br)C=C2C=C1', 'BrC1=NC2=CN=C(Br)C=C2C=C1']",25,25,,,,-6.001712847972255,-2.9001091839544335,3.1422672341836515
34_34_01,-6.0762,-3.2173,3.993,3.5704,c1cc(-c2nccc3c(-c4nccc5c(-c6nccc7c(-c8nccc9c(-c%10nccc%11c(-c%12nccc%13c(-c%14nccc%15ccccc%14%15)cccc%12%13)cccc%10%11)cccc89)cccc67)cccc45)cccc23)c2ccncc2c1,BrC1=C2C=CN=C(Br)C2=CC=C1,BrC1=C2C=CN=C(Br)C2=CC=C1,AB,"['AB', 'BrC1=C2C=CN=C(Br)C2=CC=C1', 'BrC1=C2C=CN=C(Br)C2=CC=C1']",34,34,,,,-5.630696811686137,-2.4138150218068577,3.1732853152247893
28_28_01,-6.3766,-3.9691,3.696,0.0048,c1cnc2c(-c3ccnc4c(-c5ccnc6c(-c7ccnc8c(-c9ccnc%10c(-c%11ccnc%12c(-c%13ccnc%14c(-c%15ccnc%16cnccc%15%16)nccc%13%14)nccc%11%12)nccc9%10)nccc78)nccc56)nccc34)nccc2c1,BrC1=CC=NC2=C(Br)N=CC=C12,BrC1=CC=NC2=C(Br)N=CC=C12,AB,"['AB', 'BrC1=CC=NC2=C(Br)N=CC=C12', 'BrC1=CC=NC2=C(Br)N=CC=C12']",28,28,,,,-5.912642719352086,-3.1068879148922557,2.9961243523552143
